customer_id,region,city,age,gender,segment,signup_date,preferred_channel,preferred_category
GM00001,MENA,Dubai,68,F,Standard,2020-07-12,Mobile App,Beauty
GM00002,Southeast Asia,Singapore,57,M,Standard,2023-05-04,Online,Beauty
GM00003,North America,Los Angeles,24,F,Standard,2023-11-24,Mobile App,Home & Garden
GM00004,North America,Toronto,49,F,Standard,2020-02-26,Online,Sports
GM00005,Europe,Berlin,65,F,Budget,2020-07-31,In-Store,Home & Garden
GM00006,Europe,Berlin,36,F,Budget,2023-07-26,In-Store,Beauty
GM00007,Central Asia,Astana,23,M,Standard,2023-11-04,Online,Home & Garden
GM00008,Southeast Asia,Singapore,37,M,Budget,2020-04-26,Mobile App,Electronics
GM00009,North America,Chicago,44,F,Premium,2024-01-14,Online,Sports
GM00010,North America,New York,70,M,Premium,2021-08-21,In-Store,Home & Garden
GM00011,Central Asia,Astana,60,M,Budget,2021-02-13,Online,Beauty
GM00012,Southeast Asia,Singapore,54,M,Premium,2023-10-22,Mobile App,Home & Garden
GM00013,North America,Toronto,65,F,Premium,2022-03-22,Online,Home & Garden
GM00014,Europe,Berlin,24,M,Standard,2022-07-17,Mobile App,Fashion
GM00015,Europe,Warsaw,22,M,Standard,2023-02-10,Mobile App,Home & Garden
GM00016,Europe,Warsaw,28,M,Standard,2023-04-02,Mobile App,Electronics
GM00017,Europe,London,32,M,Standard,2020-01-04,Online,Beauty
GM00018,MENA,Riyadh,20,F,Standard,2020-01-23,In-Store,Food & Grocery
GM00019,MENA,Istanbul,22,Other,Standard,2022-07-09,Online,Fashion
GM00020,Europe,Berlin,40,F,Budget,2022-01-14,Mobile App,Food & Grocery
GM00021,North America,Chicago,70,M,Budget,2021-08-24,Mobile App,Home & Garden
GM00022,Europe,Warsaw,54,F,Standard,2022-09-14,In-Store,Sports
GM00023,Europe,Paris,26,F,Budget,2023-01-20,Mobile App,Electronics
GM00024,Europe,London,32,M,Standard,2021-04-13,Online,Electronics
GM00025,MENA,Riyadh,20,F,Premium,2022-08-27,In-Store,Electronics
GM00026,North America,Chicago,46,F,Premium,2023-03-24,Online,Fashion
GM00027,Europe,Paris,23,F,Premium,2021-09-18,Call Center,Home & Garden
GM00028,MENA,Cairo,34,F,Standard,2020-07-25,Mobile App,Electronics
GM00029,North America,Toronto,43,M,Premium,2022-10-10,Mobile App,Home & Garden
GM00030,Central Asia,Almaty,38,M,Standard,2020-03-21,Mobile App,Sports
GM00031,North America,Los Angeles,25,F,Premium,2021-09-06,Online,Home & Garden
GM00032,Europe,London,38,M,Budget,2021-04-27,Mobile App,Food & Grocery
GM00033,Central Asia,Astana,28,M,Standard,2021-08-14,Online,Home & Garden
GM00034,Southeast Asia,Manila,55,F,Budget,2023-12-01,Mobile App,Home & Garden
GM00035,Southeast Asia,Singapore,25,F,Budget,2023-01-31,Mobile App,Beauty
GM00036,North America,Los Angeles,59,M,Premium,2023-06-17,Online,Food & Grocery
GM00037,Europe,Paris,41,F,Standard,2023-07-12,Online,Fashion
GM00038,Central Asia,Tashkent,52,F,Premium,2020-02-02,Online,Home & Garden
GM00039,North America,New York,31,F,Budget,2020-02-04,Call Center,Electronics
GM00040,MENA,Istanbul,31,M,Standard,2023-06-26,Online,Beauty
GM00041,Europe,Warsaw,27,M,Premium,2022-09-26,In-Store,Home & Garden
GM00042,MENA,Dubai,29,M,Premium,2022-12-09,Mobile App,Beauty
GM00043,Central Asia,Bishkek,55,M,Standard,2020-10-06,Online,Fashion
GM00044,Southeast Asia,Singapore,61,M,Budget,2020-05-31,In-Store,Beauty
GM00045,Europe,Warsaw,63,M,Standard,2021-12-01,In-Store,Electronics
GM00046,North America,Los Angeles,51,M,Budget,2022-01-04,Online,Home & Garden
GM00047,Europe,Warsaw,58,F,Standard,2022-10-15,Mobile App,Electronics
GM00048,MENA,Cairo,27,M,Premium,2023-06-07,Online,Sports
GM00049,MENA,Riyadh,34,F,Budget,2021-10-26,Online,Beauty
GM00050,Europe,London,34,F,Premium,2022-07-11,In-Store,Beauty
GM00051,Southeast Asia,Singapore,20,M,Budget,2023-08-04,In-Store,Beauty
GM00052,North America,Toronto,48,F,Standard,2023-11-19,Mobile App,Food & Grocery
GM00053,Southeast Asia,Jakarta,68,F,Premium,2021-03-28,Mobile App,Fashion
GM00054,Southeast Asia,Singapore,18,M,Standard,2021-09-11,In-Store,Food & Grocery
GM00055,North America,Toronto,29,F,Budget,2022-11-22,Online,Electronics
GM00056,Southeast Asia,Singapore,56,M,Budget,2023-10-18,Online,Sports
GM00057,Central Asia,Bishkek,21,F,Premium,2023-02-08,Online,Fashion
GM00058,Europe,Paris,59,M,Premium,2023-02-18,In-Store,Fashion
GM00059,Central Asia,Bishkek,30,F,Standard,2020-01-16,Mobile App,Home & Garden
GM00060,Europe,Paris,51,M,Standard,2022-01-08,Online,Sports
GM00061,MENA,Riyadh,59,F,Standard,2021-12-15,Online,Beauty
GM00062,Europe,Paris,38,M,Premium,2021-12-14,In-Store,Food & Grocery
GM00063,North America,Los Angeles,39,F,Budget,2020-04-07,Online,Beauty
GM00064,Europe,Berlin,21,F,Standard,2020-04-25,Mobile App,Home & Garden
GM00065,Europe,Paris,35,M,Budget,2022-08-22,In-Store,Food & Grocery
GM00066,MENA,Dubai,22,F,Standard,2024-02-03,In-Store,Beauty
GM00067,Europe,Warsaw,36,M,Standard,2024-01-02,Online,Electronics
GM00068,North America,Toronto,19,F,Budget,2023-07-28,Mobile App,Beauty
GM00069,Central Asia,Almaty,29,F,Standard,2020-12-14,Online,Food & Grocery
GM00070,Southeast Asia,Bangkok,34,F,Budget,2020-08-19,Mobile App,Electronics
GM00071,North America,Chicago,27,F,Budget,2023-02-08,Online,Home & Garden
GM00072,Europe,Amsterdam,51,M,Standard,2023-10-07,Mobile App,Home & Garden
GM00073,Central Asia,Tashkent,23,M,Standard,2022-11-01,Mobile App,Electronics
GM00074,North America,Toronto,25,M,Premium,2022-09-10,Online,Food & Grocery
GM00075,North America,Los Angeles,68,F,Premium,2021-09-30,Mobile App,Food & Grocery
GM00076,North America,New York,28,M,Standard,2020-10-11,In-Store,Beauty
GM00077,North America,Toronto,29,F,Premium,2021-09-27,Online,Home & Garden
GM00078,Central Asia,Astana,26,F,Standard,2021-06-28,Online,Home & Garden
GM00079,Europe,Paris,19,M,Standard,2021-01-26,In-Store,Electronics
GM00080,Central Asia,Bishkek,25,F,Standard,2023-04-08,In-Store,Home & Garden
GM00081,Southeast Asia,Jakarta,28,M,Standard,2020-03-17,Mobile App,Beauty
GM00082,North America,New York,70,M,Premium,2020-10-23,Mobile App,Home & Garden
GM00083,Europe,Berlin,53,F,Premium,2020-11-25,In-Store,Electronics
GM00084,Central Asia,Tashkent,27,M,Standard,2022-12-22,Mobile App,Beauty
GM00085,Europe,Berlin,38,M,Standard,2020-09-26,In-Store,Sports
GM00086,Europe,Amsterdam,37,F,Standard,2020-08-03,Online,Electronics
GM00087,North America,Chicago,65,M,Standard,2023-04-28,Mobile App,Sports
GM00088,North America,Chicago,25,Other,Budget,2023-01-03,Online,Home & Garden
GM00089,Southeast Asia,Bangkok,53,Other,Standard,2021-05-24,Online,Beauty
GM00090,MENA,Cairo,46,M,Standard,2021-08-01,Mobile App,Home & Garden
GM00091,Central Asia,Almaty,59,M,Budget,2023-01-21,In-Store,Beauty
GM00092,North America,Toronto,29,F,Budget,2022-12-12,Online,Fashion
GM00093,North America,Los Angeles,31,M,Standard,2021-05-10,Online,Home & Garden
GM00094,North America,Chicago,65,M,Standard,2022-08-05,In-Store,Home & Garden
GM00095,North America,Chicago,71,F,Premium,2020-04-03,Call Center,Home & Garden
GM00096,MENA,Cairo,67,M,Standard,2021-09-16,In-Store,Food & Grocery
GM00097,MENA,Riyadh,38,F,Budget,2020-08-16,In-Store,Electronics
GM00098,MENA,Riyadh,39,M,Standard,2020-09-06,Online,Food & Grocery
GM00099,Central Asia,Bishkek,38,M,Budget,2023-11-15,Online,Beauty
GM00100,Central Asia,Astana,61,M,Standard,2021-12-21,Online,Beauty
GM00101,Central Asia,Astana,67,F,Budget,2022-09-06,Online,Beauty
GM00102,North America,New York,47,F,Standard,2020-06-30,In-Store,Electronics
GM00103,Europe,Berlin,56,F,Premium,2020-09-23,Online,Beauty
GM00104,MENA,Riyadh,37,M,Standard,2022-09-30,Online,Food & Grocery
GM00105,Southeast Asia,Manila,41,M,Standard,2020-10-07,Mobile App,Food & Grocery
GM00106,Europe,Warsaw,40,M,Premium,2022-08-19,Mobile App,Home & Garden
GM00107,MENA,Dubai,24,F,Budget,2021-10-28,Mobile App,Sports
GM00108,North America,Chicago,26,F,Standard,2023-01-11,In-Store,Fashion
GM00109,Europe,Amsterdam,18,F,Budget,2023-04-24,Online,Beauty
GM00110,Central Asia,Bishkek,43,M,Standard,2021-06-14,Mobile App,Electronics
GM00111,Europe,Warsaw,55,F,Premium,2023-10-03,Online,Electronics
GM00112,Europe,Paris,55,M,Budget,2021-02-26,In-Store,Beauty
GM00113,Southeast Asia,Singapore,71,F,Standard,2022-09-07,Mobile App,Sports
GM00114,North America,New York,61,M,Standard,2021-03-29,Mobile App,Food & Grocery
GM00115,North America,Los Angeles,39,F,Standard,2020-09-23,Call Center,Beauty
GM00116,Southeast Asia,Jakarta,61,M,Standard,2021-05-21,Mobile App,Electronics
GM00117,North America,New York,27,M,Budget,2023-03-11,In-Store,Fashion
GM00118,Europe,Paris,23,F,Standard,2020-11-11,Online,Sports
GM00119,Southeast Asia,Manila,34,M,Standard,2022-02-02,Mobile App,Beauty
GM00120,MENA,Riyadh,68,M,Budget,2023-06-09,Online,Fashion
GM00121,North America,Chicago,67,F,Premium,2023-08-13,Mobile App,Beauty
GM00122,Southeast Asia,Singapore,55,F,Standard,2022-06-16,Online,Sports
GM00123,Europe,Paris,41,F,Budget,2022-08-10,Online,Electronics
GM00124,Central Asia,Almaty,68,M,Standard,2022-05-24,Mobile App,Food & Grocery
GM00125,Europe,Warsaw,27,F,Budget,2022-07-04,Online,Food & Grocery
GM00126,MENA,Dubai,25,F,Standard,2020-01-22,Mobile App,Sports
GM00127,North America,Los Angeles,38,M,Budget,2021-01-18,Online,Home & Garden
GM00128,Southeast Asia,Bangkok,23,F,Budget,2023-02-23,Mobile App,Food & Grocery
GM00129,Central Asia,Almaty,38,M,Standard,2020-04-12,In-Store,Beauty
GM00130,MENA,Cairo,56,M,Premium,2022-06-18,In-Store,Fashion
GM00131,MENA,Riyadh,41,M,Standard,2022-01-02,Online,Fashion
GM00132,Europe,Warsaw,50,M,Standard,2020-04-19,Online,Food & Grocery
GM00133,Central Asia,Astana,35,F,Standard,2024-02-04,Mobile App,Sports
GM00134,Europe,Warsaw,45,F,Premium,2022-12-24,Online,Sports
GM00135,Southeast Asia,Jakarta,69,F,Standard,2024-02-04,Online,Sports
GM00136,Europe,Amsterdam,49,F,Budget,2021-10-31,In-Store,Fashion
GM00137,MENA,Dubai,29,M,Standard,2023-01-04,In-Store,Electronics
GM00138,North America,New York,65,F,Standard,2022-11-08,Online,Fashion
GM00139,Europe,Paris,59,F,Premium,2021-01-18,Online,Electronics
GM00140,Southeast Asia,Jakarta,44,M,Standard,2020-07-08,Online,Sports
GM00141,Southeast Asia,Bangkok,27,F,Premium,2022-01-31,Mobile App,Home & Garden
GM00142,Europe,London,63,Other,Premium,2020-12-25,Online,Fashion
GM00143,MENA,Riyadh,69,F,Budget,2022-05-24,Call Center,Sports
GM00144,Europe,Warsaw,59,F,Budget,2022-06-04,Online,Fashion
GM00145,Europe,London,49,M,Premium,2024-01-15,Online,Sports
GM00146,Central Asia,Astana,59,M,Premium,2020-03-19,In-Store,Fashion
GM00147,North America,Chicago,43,M,Standard,2021-08-18,Online,Beauty
GM00148,MENA,Dubai,42,F,Standard,2023-04-10,In-Store,Fashion
GM00149,Central Asia,Almaty,28,F,Standard,2023-05-20,Mobile App,Beauty
GM00150,Europe,Berlin,40,Other,Standard,2022-06-04,Online,Electronics
GM00151,Southeast Asia,Manila,51,M,Standard,2022-10-11,Mobile App,Fashion
GM00152,Europe,Warsaw,69,M,Budget,2024-01-08,Online,Electronics
GM00153,Europe,Berlin,57,F,Standard,2020-05-28,Online,Home & Garden
GM00154,MENA,Cairo,40,F,Standard,2020-01-10,Online,Food & Grocery
GM00155,Southeast Asia,Manila,46,M,Standard,2022-03-02,Mobile App,Food & Grocery
GM00156,Europe,Berlin,48,F,Budget,2022-12-14,Online,Beauty
GM00157,North America,Toronto,24,F,Budget,2022-05-21,Mobile App,Fashion
GM00158,North America,Los Angeles,57,F,Premium,2020-06-28,In-Store,Food & Grocery
GM00159,Europe,Amsterdam,50,F,Standard,2022-01-13,Online,Electronics
GM00160,North America,Los Angeles,38,M,Standard,2021-01-15,In-Store,Food & Grocery
GM00161,Europe,Amsterdam,19,Other,Premium,2023-12-16,Mobile App,Food & Grocery
GM00162,North America,Chicago,35,F,Standard,2021-03-26,Mobile App,Sports
GM00163,North America,New York,64,M,Standard,2023-01-21,In-Store,Food & Grocery
GM00164,MENA,Riyadh,50,M,Standard,2023-12-07,Mobile App,Electronics
GM00165,Central Asia,Almaty,54,F,Standard,2021-01-28,Online,Food & Grocery
GM00166,North America,New York,51,M,Standard,2022-08-22,Mobile App,Fashion
GM00167,Europe,Paris,37,M,Budget,2023-09-16,Mobile App,Food & Grocery
GM00168,Europe,London,52,F,Standard,2021-03-08,Mobile App,Home & Garden
GM00169,Central Asia,Almaty,68,M,Standard,2022-08-11,Mobile App,Food & Grocery
GM00170,North America,Toronto,67,F,Premium,2023-04-01,In-Store,Beauty
GM00171,North America,New York,71,M,Premium,2022-08-03,In-Store,Sports
GM00172,Central Asia,Astana,35,F,Standard,2022-11-29,In-Store,Electronics
GM00173,MENA,Dubai,63,M,Premium,2022-02-04,Online,Food & Grocery
GM00174,Europe,Berlin,41,M,Premium,2022-06-26,In-Store,Food & Grocery
GM00175,North America,New York,25,M,Premium,2020-03-25,Online,Fashion
GM00176,Europe,London,47,F,Standard,2022-02-22,In-Store,Fashion
GM00177,North America,Los Angeles,61,F,Standard,2022-03-26,Online,Beauty
GM00178,MENA,Dubai,70,M,Standard,2023-01-19,Online,Sports
