review_id,customer_id,transaction_id,region,category,rating,review_text,sentiment_label,review_date
REV0000001,GM04129,TXN0048093,Europe,Home & Garden,3,Average quality. Okay for the price.,Neutral,2022-12-19
REV0000002,GM00126,TXN0001464,MENA,Beauty,4,Customer service was incredibly helpful and responsive.,Positive,2024-01-30
REV0000003,GM02987,TXN0035091,Central Asia,Sports,5,Fast delivery and excellent quality. Will buy again.,Positive,2022-07-11
REV0000004,GM04081,TXN0047478,North America,Home & Garden,4,Perfect experience from browsing to delivery. 5 stars.,Positive,2024-05-07
REV0000005,GM01711,TXN0019784,Europe,Sports,4,Great value for money. Highly recommend to everyone.,Positive,2024-02-04
REV0000006,GM03563,TXN0041593,Central Asia,Sports,4,Customer service was incredibly helpful and responsive.,Positive,2022-04-01
REV0000007,GM03101,TXN0036370,Central Asia,Electronics,4,Great value for money. Highly recommend to everyone.,Positive,2022-10-27
REV0000008,GM03643,TXN0042530,MENA,Food & Grocery,4,Perfect experience from browsing to delivery. 5 stars.,Positive,2022-06-29
REV0000009,GM03085,TXN0036193,North America,Food & Grocery,5,Customer service was incredibly helpful and responsive.,Positive,2023-10-27
REV0000010,GM02772,TXN0032352,Europe,Food & Grocery,3,Average quality. Okay for the price.,Neutral,2023-03-22
REV0000011,GM01506,TXN0017664,MENA,Food & Grocery,1,Terrible customer service. Waited 3 weeks for a response.,Negative,2023-01-11
REV0000012,GM04600,TXN0053334,Europe,Home & Garden,4,The product quality is outstanding and durable.,Positive,2023-04-12
REV0000013,GM02167,TXN0025401,North America,Fashion,2,Terrible customer service. Waited 3 weeks for a response.,Negative,2022-01-20
REV0000014,GM03663,TXN0042805,Central Asia,Home & Garden,3,Works fine. Packaging could be improved.,Neutral,2022-04-30
REV0000015,GM03110,TXN0036479,North America,Beauty,2,Would not recommend. Waste of money.,Negative,2022-05-28
REV0000016,GM01179,TXN0013846,North America,Food & Grocery,4,The product quality is outstanding and durable.,Positive,2022-01-08
REV0000017,GM03167,TXN0037087,Southeast Asia,Home & Garden,4,Super happy with my purchase. Fits perfectly.,Positive,2024-03-18
REV0000018,GM01249,TXN0014687,Southeast Asia,Home & Garden,3,Average quality. Okay for the price.,Neutral,2024-03-31
REV0000019,GM04122,TXN0047990,MENA,Food & Grocery,5,Super happy with my purchase. Fits perfectly.,Positive,2023-04-23
REV0000020,GM02543,TXN0029854,North America,Fashion,4,Fast delivery and excellent quality. Will buy again.,Positive,2022-02-09
REV0000021,GM01997,TXN0023264,Southeast Asia,Electronics,1,Not as described. Poor quality material. Returning it.,Negative,2023-10-05
REV0000022,GM00474,TXN0005749,Southeast Asia,Sports,5,The product quality is outstanding and durable.,Positive,2023-08-01
REV0000023,GM04452,TXN0051642,North America,Food & Grocery,5,The product quality is outstanding and durable.,Positive,2022-11-28
REV0000024,GM00568,TXN0006737,MENA,Home & Garden,3,Works fine. Packaging could be improved.,Neutral,2023-04-23
REV0000025,GM02557,TXN0029972,MENA,Fashion,3,Average quality. Okay for the price.,Neutral,2023-04-14
REV0000026,GM01549,TXN0018176,Central Asia,Sports,4,Perfect experience from browsing to delivery. 5 stars.,Positive,2022-10-24
REV0000027,GM03376,TXN0039481,North America,Food & Grocery,5,Super happy with my purchase. Fits perfectly.,Positive,2022-04-15
REV0000028,GM00241,TXN0002981,Southeast Asia,Sports,4,Fast delivery and excellent quality. Will buy again.,Positive,2023-05-12
REV0000029,GM02236,TXN0026304,North America,Beauty,4,The product quality is outstanding and durable.,Positive,2022-07-09
REV0000030,GM02674,TXN0031288,Europe,Beauty,4,Customer service was incredibly helpful and responsive.,Positive,2022-08-19
REV0000031,GM04513,TXN0052350,Central Asia,Beauty,2,Terrible customer service. Waited 3 weeks for a response.,Negative,2024-01-19
REV0000032,GM04790,TXN0055698,Europe,Fashion,4,Great value for money. Highly recommend to everyone.,Positive,2022-04-09
REV0000033,GM01618,TXN0018955,North America,Beauty,5,Absolutely love this product! Exceeded my expectations.,Positive,2023-07-25
REV0000034,GM03956,TXN0046052,Southeast Asia,Home & Garden,3,Works fine. Packaging could be improved.,Neutral,2022-03-16
REV0000035,GM03969,TXN0046232,North America,Home & Garden,3,Works fine. Packaging could be improved.,Neutral,2022-07-07
REV0000036,GM04304,TXN0050013,North America,Fashion,5,The product quality is outstanding and durable.,Positive,2024-05-04
REV0000037,GM01174,TXN0013792,Europe,Home & Garden,4,Absolutely love this product! Exceeded my expectations.,Positive,2022-06-10
REV0000038,GM04153,TXN0048338,North America,Home & Garden,5,Fast delivery and excellent quality. Will buy again.,Positive,2023-10-07
REV0000039,GM02033,TXN0023674,MENA,Home & Garden,5,Great value for money. Highly recommend to everyone.,Positive,2023-07-17
REV0000040,GM01692,TXN0019633,MENA,Electronics,3,Average quality. Okay for the price.,Neutral,2023-05-11
REV0000041,GM03003,TXN0035270,Europe,Sports,5,The product quality is outstanding and durable.,Positive,2023-05-04
REV0000042,GM04864,TXN0056615,Europe,Food & Grocery,5,Absolutely love this product! Exceeded my expectations.,Positive,2023-11-22
REV0000043,GM04412,TXN0051308,Central Asia,Sports,5,Super happy with my purchase. Fits perfectly.,Positive,2023-05-28
REV0000044,GM00018,TXN0000225,MENA,Food & Grocery,4,Great value for money. Highly recommend to everyone.,Positive,2022-08-01
REV0000045,GM03780,TXN0044125,Southeast Asia,Sports,4,Perfect experience from browsing to delivery. 5 stars.,Positive,2022-07-28
REV0000046,GM04722,TXN0054832,Central Asia,Home & Garden,4,Perfect experience from browsing to delivery. 5 stars.,Positive,2023-10-02
REV0000047,GM03089,TXN0036251,North America,Sports,5,Great value for money. Highly recommend to everyone.,Positive,2023-05-20
REV0000048,GM02859,TXN0033449,Central Asia,Sports,4,Perfect experience from browsing to delivery. 5 stars.,Positive,2024-01-11
